username,name,content,time,likes,reply,retweet
@Priyans2443216u,@Priyanshu Yaduvanshi,"Thunivu Update Postponed 

Ajith to Ajith fans :",2022-12-02T13:44:31.000Z,2,2,2
@mgr_karthik,Karthik,AK fans are used to not getting updates and updates being postponed.,2022-12-02T13:44:19.000Z,1,1,1
@Ntaliyane100,iNtaliyane,"Postponed once again, apparently the Baffalo is no where to be seen.",2022-12-02T13:44:08.000Z,None,None,None
@mgr_karthik,Karthik,Update postponed nu theliva podu man,2022-12-02T13:43:50.000Z,None,None,None
@pjfitzgerald66,Padraig Fitzgerald,"Postponed until Further Notice #bonnar 
@KinsaleTY
 @KinsaleGaa
 @kinsalecs
 #kinsalepeaceproject #kinsale",2022-12-02T13:43:46.000Z,None,None,None
@RoyceUsman_7,ʀᴏʏᴄᴇ 𝗩𝗝™,"No guts No update
No Boney 
BUT now Thuniuv Update Postponed Kumar Busted Outside. ",2022-12-02T13:43:36.000Z,2,2,2
@CityofAttleboro,City of Attleboro,"We are sorry to report that due to the rain storms tomorrow, Attleboro's Holiday Happening Event and Parade are postponed until Sunday December 4th. The parade will start at 10 AM on Sunday. Please share with family and friends who were hoping to attend!",2022-12-02T13:43:30.000Z,1,1,1
@LivePretoria,PretoriaLIVE,"Breaking News | ANC NEC meeting adjourns.

- Special sitting postponed to allow National Working Committee to review PhalaPhala report.

#PhalaPhalaReport 
#Ramaphosa 
@LivePretoria",2022-12-02T13:43:21.000Z,1,1,1
@realsiyauyazi,S I Y A U Y A Z I,"ANC NEC Meeting adjourned and postponed. 

President Cyril Ramaphosa no show at a special meeting which was scheduled today.",2022-12-02T13:42:55.000Z,2,2,2
@Ntaliyane100,iNtaliyane,"Ramaphosa has postponed/canceled 
1. NCOP
2. NEC 01 Dec
3. Announcement to the country
4. NEC 02 Dec

All this happened in the past 24hrs. Politics is dirty. CR hates being the center of attention. Please allow him to resign in peace. 
#PhalaPhalaFarm #ramaphosamustgo",2022-12-02T13:42:48.000Z,None,None,None
@Mahesh_Bourbon,Mahesh,"Because of #Varisu Updates  , Thunivu Updates are Postponed ....

Shame to say Tier 1 ?",2022-12-02T13:41:55.000Z,5,5,5
@GunalanS9,Gunalan S,Official ah yaarum sollala ivanungala like ku kaga kelapi vittutu postponed sollikitu irukan sotta ,2022-12-02T13:41:35.000Z,None,None,None
@itzcrazykichu,வன்ம கிச்சா,Postponed ra ,2022-12-02T13:41:15.000Z,1,1,1
